dates,입원환자수,연령0_9,연령10_19,연령20_29,연령30_39,연령40_49,연령50_59,연령60_69,연령70_79,연령80_,성별M,성별F,치과,정형외과,그외
2021-12-01,5,0,1,0,0,0,1,1,2,0,2,3,0,4,1
2021-12-02,11,0,1,0,0,1,3,3,3,0,6,5,0,10,1
2021-12-03,11,0,1,0,0,1,3,3,3,0,6,5,0,10,1
2021-12-04,11,0,1,0,0,1,3,2,4,0,6,5,0,11,0
2021-12-05,18,0,1,0,0,2,3,6,5,1,8,10,0,18,0
2021-12-06,26,0,1,0,0,4,3,10,7,1,11,15,3,23,0
2021-12-07,30,0,1,0,0,5,3,13,7,1,13,17,3,27,0
2021-12-08,33,0,3,0,0,6,2,12,8,2,13,20,3,30,0
2021-12-09,36,0,3,2,1,3,3,14,8,2,16,20,1,35,0
2021-12-10,32,0,2,2,1,3,2,13,7,2,13,19,1,31,0
2021-12-11,31,0,2,2,1,3,2,13,6,2,13,18,1,30,0
2021-12-12,32,0,0,2,1,2,4,13,7,3,15,17,2,30,0
2021-12-13,34,0,0,2,1,1,4,16,7,3,15,19,2,32,0
2021-12-14,38,0,0,4,2,1,5,14,8,4,17,21,4,34,0
2021-12-15,36,0,0,3,2,1,5,13,8,4,16,20,4,32,0
2021-12-16,36,0,0,3,2,3,5,12,8,3,17,19,5,31,0
2021-12-17,33,0,0,3,1,2,4,12,8,3,14,19,5,28,0
2021-12-18,29,0,0,3,0,2,3,11,7,3,12,17,4,25,0
2021-12-19,30,0,0,4,0,4,3,8,8,3,15,15,3,27,0
2021-12-20,34,0,0,4,2,6,2,9,8,3,18,16,5,29,0
2021-12-21,38,0,0,5,2,6,2,9,11,3,20,18,4,32,2
2021-12-22,38,0,1,5,2,5,2,9,10,4,18,20,5,31,2
2021-12-23,40,0,1,5,1,6,3,10,11,3,18,22,5,33,2
2021-12-24,32,0,1,4,0,2,3,10,10,2,15,17,2,28,2
2021-12-25,24,0,1,2,0,1,2,8,8,2,11,13,2,22,0
2021-12-26,33,0,0,4,1,2,7,6,11,2,14,19,2,30,1
2021-12-27,37,0,1,6,1,3,7,7,9,3,17,20,4,32,1
2021-12-28,42,0,1,7,4,5,7,6,11,1,21,21,5,36,1
2021-12-29,41,0,1,7,5,4,4,9,10,1,18,23,4,36,1
2021-12-30,40,0,1,4,5,6,4,11,8,1,18,22,5,34,1
2021-12-31,34,0,1,4,1,5,3,11,8,1,14,20,5,28,1
2022-01-01,28,0,1,3,1,5,2,8,7,1,11,17,4,23,1
2022-01-02,34,1,2,1,3,4,5,8,9,1,14,20,3,30,1
2022-01-03,40,1,2,3,3,4,8,7,11,1,17,23,3,36,1
2022-01-04,40,1,3,4,7,4,7,6,7,1,18,22,3,36,1
2022-01-05,41,3,4,4,8,4,6,4,7,1,19,22,3,37,1
2022-01-06,37,2,4,4,9,3,5,4,6,0,16,21,3,33,1
2022-01-07,38,2,3,4,7,3,5,5,8,1,15,23,3,34,1
2022-01-08,32,1,2,3,6,3,4,4,8,1,12,20,3,28,1
2022-01-09,33,1,1,3,2,6,2,6,10,2,12,21,2,29,2
2022-01-10,40,1,3,5,3,6,2,8,10,2,17,23,5,33,2
2022-01-11,39,0,3,5,3,7,3,8,8,2,17,22,5,32,2
2022-01-12,40,0,5,6,3,5,3,9,7,2,18,22,5,33,2
2022-01-13,46,0,4,8,3,4,5,12,8,2,20,26,4,40,2
2022-01-14,39,0,3,6,4,3,4,10,7,2,16,23,3,35,1
2022-01-15,34,0,2,5,3,2,4,10,7,1,12,22,2,31,1
2022-01-16,33,0,1,5,3,3,2,9,8,2,12,21,2,31,0
2022-01-17,43,1,6,5,4,3,4,11,7,2,21,22,3,40,0
2022-01-18,44,1,7,2,5,4,5,10,8,2,19,25,2,42,0
2022-01-19,37,1,5,2,4,3,4,8,8,2,15,22,3,34,0
2022-01-20,36,1,5,2,3,3,4,8,8,2,16,20,3,33,0
2022-01-21,36,1,5,2,1,4,4,8,8,3,16,20,3,33,0
2022-01-22,35,0,4,3,1,4,3,7,7,6,14,21,2,33,0
2022-01-23,36,0,3,5,2,4,3,5,8,6,16,20,1,35,0
2022-01-24,42,0,4,6,3,4,3,6,9,7,17,25,4,38,0
2022-01-25,45,0,4,9,3,4,5,6,9,5,21,24,4,41,0
2022-01-26,40,0,2,6,2,5,4,6,9,6,15,25,6,34,0
2022-01-27,39,0,3,5,2,3,4,7,9,6,14,25,6,32,1
2022-01-28,35,0,3,3,2,3,4,7,8,5,13,22,4,30,1
2022-01-29,29,0,3,2,2,1,4,6,7,4,10,19,3,25,1
2022-01-30,24,0,1,1,2,1,4,5,6,4,7,17,2,21,1
2022-01-31,21,0,0,1,2,1,3,5,5,4,6,15,1,19,1
2022-02-01,18,0,0,1,1,1,3,4,5,3,6,12,1,17,0
2022-02-02,26,0,0,5,1,1,4,5,5,5,9,17,1,25,0
2022-02-03,30,0,0,5,1,4,5,4,5,6,11,19,2,28,0
2022-02-04,30,0,0,5,1,5,5,3,5,6,12,18,2,28,0
2022-02-05,25,0,0,4,1,4,4,2,4,6,11,14,2,23,0
2022-02-06,32,0,1,5,2,4,3,5,5,7,13,19,2,30,0
2022-02-07,34,0,1,3,1,4,5,6,7,7,15,19,4,30,0
2022-02-08,41,1,1,3,2,6,6,9,7,6,18,23,6,35,0
2022-02-09,40,1,2,2,1,7,6,7,8,6,18,22,6,34,0
2022-02-10,42,2,2,1,1,7,5,10,8,6,17,25,7,35,0
2022-02-11,35,2,2,0,1,7,5,9,5,4,15,20,6,29,0
2022-02-12,29,1,2,0,1,7,4,8,3,3,15,14,6,23,0
2022-02-13,30,0,5,1,0,6,3,9,3,3,15,15,3,27,0
2022-02-14,35,0,5,1,0,6,4,11,4,4,19,16,5,30,0
2022-02-15,41,0,6,2,0,4,6,13,7,3,23,18,4,37,0
2022-02-16,36,0,3,2,0,3,5,13,7,3,19,17,4,32,0
2022-02-17,42,0,2,3,0,5,7,13,9,3,22,20,4,38,0
2022-02-18,40,0,2,3,0,6,5,13,9,2,21,19,3,37,0
2022-02-19,37,0,2,2,0,6,3,13,9,2,18,19,3,34,0
2022-02-20,35,0,2,0,1,4,4,11,10,3,17,18,2,33,0
2022-02-21,41,0,2,6,2,4,4,11,9,3,21,20,6,35,0
2022-02-22,46,0,2,7,3,5,4,10,9,6,20,26,9,37,0
2022-02-23,43,0,2,7,2,4,3,9,10,6,18,25,9,34,0
2022-02-24,45,0,1,4,2,4,3,11,13,7,17,28,6,39,0
2022-02-25,36,0,0,1,0,2,3,11,12,7,13,23,3,33,0
2022-02-26,33,0,0,1,0,2,3,11,11,5,12,21,3,30,0
2022-02-27,35,0,0,1,1,3,4,11,10,5,12,23,3,32,0
2022-02-28,32,0,0,1,1,2,4,10,9,5,10,22,3,29,0
2022-03-01,35,0,0,2,2,2,4,11,9,5,13,22,4,31,0
2022-03-02,37,0,0,3,2,2,3,11,10,6,14,23,5,32,0
2022-03-03,40,0,0,4,3,2,5,12,10,4,19,21,5,35,0
2022-03-04,34,0,0,2,2,1,5,11,9,4,17,17,4,30,0
2022-03-05,30,0,0,1,2,1,5,9,8,4,16,14,4,26,0
2022-03-06,33,0,0,1,1,1,6,10,10,4,16,17,4,28,1
2022-03-07,41,0,0,2,1,2,9,12,11,4,19,22,5,35,1
2022-03-08,39,0,1,2,1,3,8,9,12,3,20,19,6,32,1
2022-03-09,37,0,1,2,1,3,9,8,10,3,18,19,6,31,0
2022-03-10,40,0,1,2,2,3,7,9,13,3,19,21,6,34,0
2022-03-11,34,0,0,2,2,3,5,8,12,2,18,16,5,29,0
