물품코드,물품명,규격,기준단위명,정수수량,실사수량,출고수량,진행상태,출고번호,부서코드,부서약어,부서명,정수구분,출고일,출고요일,사용일시,카트장
521000597,SST TUBE 5ML,50*2,EA,5,2,3,전송,202202040156,171125,12E,12동(OS·DEN),C,2022-02-04,금,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,2,3,전송,202202100050,171125,12E,12동(OS·DEN),C,2022-02-10,목,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,,202202100085,171125,12E,12동(OS·DEN),C,2022-02-10,목,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202202110008,171125,12E,12동(OS·DEN),C,2022-02-11,금,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202202150104,171125,12E,12동(OS·DEN),C,2022-02-15,화,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202202240026,171125,12E,12동(OS·DEN),C,2022-02-24,목,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,6,-1,,20220228T001,171125,12E,12동(OS·DEN),C,2022-02-28,월,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202203110241,171125,12E,12동(OS·DEN),C,2022-03-11,금,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202203120001,171125,12E,12동(OS·DEN),C,2022-03-12,토,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202203130002,171125,12E,12동(OS·DEN),C,2022-03-13,일,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202203140049,171125,12E,12동(OS·DEN),C,2022-03-14,월,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202203160031,171125,12E,12동(OS·DEN),C,2022-03-16,수,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202203170042,171125,12E,12동(OS·DEN),C,2022-03-17,목,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202203180041,171125,12E,12동(OS·DEN),C,2022-03-18,금,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202203250084,171125,12E,12동(OS·DEN),C,2022-03-25,금,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,1,4,전송,202204210126,171125,12E,12동(OS·DEN),C,2022-04-21,목,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202204220016,171125,12E,12동(OS·DEN),C,2022-04-22,금,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202205040060,171125,12E,12동(OS·DEN),C,2022-05-04,수,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202205210009,171125,12E,12동(OS·DEN),C,2022-05-21,토,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,3,2,전송,202205240338,171125,12E,12동(OS·DEN),C,2022-05-24,화,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202205300001,171125,12E,12동(OS·DEN),C,2022-05-30,월,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202205310101,171125,12E,12동(OS·DEN),C,2022-05-31,화,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,0,5,전송,202206080075,171125,12E,12동(OS·DEN),C,2022-06-08,수,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,3,2,전송,202206190007,171125,12E,12동(OS·DEN),C,2022-06-19,일,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,1,4,전송,202206250003,171125,12E,12동(OS·DEN),C,2022-06-25,토,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202206270039,171125,12E,12동(OS·DEN),C,2022-06-27,월,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202206290227,171125,12E,12동(OS·DEN),C,2022-06-29,수,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202207010035,171125,12E,12동(OS·DEN),C,2022-07-01,금,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202207050167,171125,12E,12동(OS·DEN),C,2022-07-05,화,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202207100005,171125,12E,12동(OS·DEN),C,2022-07-10,일,,12E 진료재료1 1일장
521000597,SST TUBE 5ML,50*2,EA,5,4,1,전송,202207200003,171125,12E,12동(OS·DEN),C,2022-07-20,수,,12E 진료재료1 1일장
521000637,CTM-COBAS,1pcs,EA,10,2,8,전송,202202020023,171125,12E,12동(OS·DEN),C,2022-02-02,수,,12E 진료재료2 1일장
521000637,CTM-COBAS,1pcs,EA,10,-40,50,,202202030196,171125,12E,12동(OS·DEN),C,2022-02-03,목,,12E 진료재료2 1일장
521000637,CTM-COBAS,1pcs,EA,10,2,8,전송,202202040156,171125,12E,12동(OS·DEN),C,2022-02-04,금,,12E 진료재료2 1일장
521000637,CTM-COBAS,1pcs,EA,10,6,4,전송,202202050013,171125,12E,12동(OS·DEN),C,2022-02-05,토,,12E 진료재료2 1일장
521000637,CTM-COBAS,1pcs,EA,10,2,8,전송,202202060012,171125,12E,12동(OS·DEN),C,2022-02-06,일,,12E 진료재료2 1일장
